companyid,fyear,revt,roa,eps,pe_ratio,pb_ratio,gross_margin,cogs,asset_turnover,epspx,re,chech,che,ni,roe,invested_capital_2,revt-1,roa-1,revt-2,roa-2,revenue_growth,growth_revt,growth_roa,label_revt,label_roa
137635,2020.0,4034.0,0.0893854748603352,3.0695721421848985,18.44230966981132,8.231094,0.17738589211618258,3172.0,1.4032023289665212,3.04,-219.0,107.0,1461.0,212.0,0.4463157894736842,1256.0,3856.0,0.07714701601164484,3503.0,0.07885010266940452,0.10077076791321725,0.04616182572614108,0.15863813639717506,1,1
102669,2020.0,313.832,-0.4890850242310703,-0.4894844706858272,-14.974938816199378,-16.135920833557122,0.3598061012501367,140.52,1.3601779727711576,-0.52,-622.182,-19.002,12.074,-40.125,1.0775283312745045,122.817,219.496,-0.24864754326932015,202.463,-0.04966226210432896,0.08412895195665389,0.4297845974414111,0.9669811243673647,1,1
103378,2020.0,1491.391,-0.1722877460969257,-0.5689580426212184,-162.5427414189278,5.966821898542041,0.7917306197812832,182.505,0.24995749861371316,-0.64,-1119.856,17.098,323.655,-83.993,-0.036709248573355335,3156.1400000000003,876.293,-0.02395851636503043,454.462,-0.11492550632471185,0.9281986172661302,0.7019318880785309,6.191085769751373,1,1
102974,2020.0,629.516,0.04845729519594963,0.8799464907914386,12.48939579282305,1.163345177681691,0.39167103858233343,427.87,1.329135021854526,0.88,346.672,52.579,95.624,28.285,0.09314663391084137,417.75800000000004,703.353,0.05345052071030516,728.999,0.07346452832831431,-0.035179746474275096,-0.10497858116763559,-0.09341771507555864,0,0
104023,2020.0,1481.564,-0.03420704560309079,-0.9738777089783281,-26.54337373335983,,0.5181309207280805,721.85,0.24216342342505454,0.6,,11.336,16.192,-105.693,,6059.966,1498.021,-0.01708586108743755,1961.757,0.03241289371473932,-0.23638809495773436,-0.010985827301486348,1.002067406965029,1,1
103355,2020.0,2471.941,0.36770280782403314,5.645276860505144,49.42893092669883,16.25794704825323,0.7573915695389222,583.909,0.9624481445610071,5.57,439.224,-86.432,868.627,442.776,0.32891561163568617,1544.8250000000003,2406.796,0.1770606813606739,1966.492,0.1950027722857179,0.22390327547734742,0.027067104981061955,1.0767050312825794,1,1
102886,2020.0,4186.573,0.14112805564432437,4.99504945302749,19.5313381614008,3.880951639471484,0.6206570583405745,1425.383,0.6093120596276934,5.01,3284.935,-174.167,1404.03,952.486,0.19870382701894398,4521.938,3757.505,0.15445387469252686,3347.444,0.12894265462696583,0.12249973412549998,0.11418960187677733,-0.08627701360506722,1,1
108342,2020.0,46.551,-0.2129803664032247,-1.8194608386689082,-3.1437884665792923,57.869978287092884,-2.9339844970044577,138.551,0.1262022159473677,-2.16,-1221.211,-9.867,151.055,-152.6,-18.407720144752716,118.73499999999996,35.219,-0.5468201298608225,8.198,-0.7534900703704407,3.2960478165406197,0.3217581419120361,-0.6105111081820767,1,1
108857,2020.0,441.755,-0.3597984196591943,-1.5151118982450489,-28.235538279088157,9.50126155892639,0.5824505420613668,141.581,0.4329460675218947,-1.6,-1703.825,54.883,697.429,-235.259,-0.3365001036995716,78.53200000000004,339.076,-0.30038828728407024,223.807,-0.45388947097567206,0.5150375099974533,0.3028200167514067,0.19777779257731598,1,1
103365,2020.0,7423.558,0.013223972148484855,1.4342961635567872,127.2819412326149,1.9676104381620068,0.7651275720231634,1153.668,0.11042882442739305,2.17,2022.44,467.395,1678.273,430.613,0.01545867716274132,42653.80499999999,4911.892,0.009681012402787563,3366.366,0.03416678419569407,0.4591081302508402,0.5113438976264136,0.36596996246767827,1,1
103403,2020.0,2427.802,0.09966656020471926,4.469507843592248,14.066425700568837,5.288968146921506,0.5405423635366536,1253.36,0.32329931430601766,4.46,,-224.662,85.445,1020.849,0.37599943720654083,8201.292,2727.912,0.12098622745527857,2826.573,0.1721740728698682,-0.03490481229389797,-0.11001454592376869,-0.17621565445075082,0,0
103419,2020.0,638.075,-0.40649072257997326,-3.8314738599361995,-4.256847520361678,0.806207446769398,0.21110154380874305,802.589,0.588791845668677,-3.9,729.964,-10.823,8.493,-231.808,-0.18939072703757534,1641.006,1017.354,-0.13415847400291805,1088.133,-0.00953428474898706,-0.0650462765121543,-0.37280926796375696,2.02992953371795,0,0
103515,2020.0,239.825,0.1628175713017702,0.833746678476528,17.27143312440242,6.316738330829404,0.2310019990689269,224.652,2.7885151387881337,0.83,73.825,11.059,19.804,28.239,0.3657333057037766,81.074,292.136,0.26954869993509223,298.616,0.2823949246629659,-0.021700109840062026,-0.17906386066763436,-0.39596232020047983,0,0
105397,2020.0,1333.9,0.07013815090329437,-0.6866566716641679,-42.43751091703057,1.4785014453065572,0.4044287460942807,876.8,1.0442615973897007,-0.66,583.5,26.8,327.8,-22.9,-0.034839494903392665,983.7,1472.2,-0.016243438785643355,1630.3,-0.08274436591545539,-0.09697601668404583,-0.09394104061948101,-5.317937342509362,0,0
104415,2020.0,26581.0,0.0524258958855626,2.6968528354585275,20.423806325581396,2.8978966262144823,0.4284830678830988,14784.0,0.40074981796774545,2.68,16395.0,228.0,1328.0,3870.0,0.14188817598533457,57368.0,25868.0,0.059954453206091496,25938.0,0.05389851583796968,-0.002698743156758424,0.02756301221586516,-0.12557127816093527,1,1
105238,2020.0,57031.0,-0.00039756697515312705,10.495647290087055,8.931321471571906,0.5923554096490532,0.28589713933225386,46306.0,0.0723270931301252,10.23,57030.0,979.0,60267.0,4186.0,0.06632337796086508,834995.0,64845.0,0.004668998563385057,62998.0,0.004998294641739809,0.02931839106003365,-0.12050273729663043,-1.0851503742731692,0,0
104579,2020.0,44327.039,0.13775708803190023,7.5169981785980555,26.36291712351583,8.74396294220169,0.3224026335477441,29282.379,1.4506608620108572,7.49,8580.961,1065.493,6130.166,4779.112,0.33167660851924613,22013.073,43215.013,0.1604273666090632,41603.428,0.16605559398689923,0.038736831974519,0.02573239998793933,-0.14131179147512252,1,1
104246,2020.0,681.003,-0.001248349955069539,0.014824027698410031,4943.32589569161,8.022177646528487,0.5894360094940285,217.952,0.627761964620837,0.01,171.169,-178.672,350.833,0.882,0.0016228300168354814,468.93199999999996,530.86,0.0010429982533918137,420.068,0.04058843149790144,0.26374777416989637,0.2828297479561467,-2.196885949722279,1,1
104398,2020.0,4521.4,0.009477937295705435,5.840336134453781,19.211223021582736,3.36253856324372,0.5317040832780894,2613.7,0.21065643069583467,11.25,5063.4,-9.6,4550.9,278.0,0.17502990618900713,21643.1,5581.3,0.010492624967918234,7791.2,0.03169374450846889,-0.28364051750693087,-0.18990199415906697,-0.0967048450997974,0,0
104406,2020.0,9352.0,0.025849316135060082,8.112518455202425,24.892393295019154,2.535628705239535,0.2291182652948335,6968.0,0.25515158358267936,8.05,-435.0,-138.0,895.0,1044.0,0.101863596448434,34213.0,9039.0,0.029469880878450854,8513.0,0.02146055272502702,0.06178785387055092,0.03462772430578604,-0.1228564431028367,1,1
105040,2020.0,836.417,-0.03631086944951018,-1.6089041286833374,-7.222307279122554,2.5629705101087117,0.2481185175815836,618.215,2.15031356734506,-1.61,-143.015,-14.987,1.032,-57.713,-0.3548686605342122,335.61600000000004,822.224,-0.15093337936156748,816.484,-0.03969761336571406,0.007030143885244547,0.01726171943412012,-0.7594245248923639,1,1
104697,2020.0,41355.0,0.04840414288733883,-9.025970820728707,-6.376045429687498,1.5625767087880527,0.026640738940204182,40044.0,2.2460009826936727,-9.34,813.0,-71.0,998.0,-1280.0,-0.2450698832088838,14477.0,41140.0,-0.06988043893650707,45743.0,0.013745173745173745,-0.10062741840281574,0.005226057365094798,-1.6926708478651449,1,1
104692,2020.0,88.046,-0.14035398845538632,-0.16669230532566226,-101.3244130675526,2.7986544961433952,0.6860314307413683,26.871,0.35728300437497906,-0.17,-37.35,1.516,97.605,-5.418,-0.02762073237253832,134.303,85.585,-0.022617974150886684,85.794,-0.0341559505101702,-0.0024360677902884025,0.02875503885026597,5.205418200545785,1,1
105124,2020.0,2393.714,0.030025404640819,2.4397072043148835,25.539949994736293,3.951516025962956,0.3345765977965957,1478.642,1.150369684714487,2.44,400.199,69.638,101.378,113.988,0.15471901968395993,1727.721,2222.107,0.059010812540185933,2136.074,0.09495478391474362,0.04027622638541544,0.07722715422794671,-0.49118808319455154,1,1
104723,2020.0,7024.5,-0.005688496459535501,5.493203883495145,27.248214916931783,2.4890079996125314,0.7780436471148305,1771.7,0.323970014651747,5.52,10185.4,75.1,617.9,1131.6,0.09134572694763522,23619.899999999998,7982.2,0.045927747811369914,7932.9,-0.01571696205049986,0.00621462516860167,-0.11997945428578585,-1.1238575094711536,0,0
105505,2020.0,7131.8,0.06920001088050486,9.564315352697095,11.688238611713667,3.33484635618134,0.16211530726876835,6041.4,2.476659911379796,9.65,1091.6,-4.8,3.5,184.4,0.2853164165248337,2826.1000000000004,7210.3,0.06333940164187819,6874.4,0.062328411367515026,0.048862446177120995,-0.01088720302900018,0.09252706982870827,1,1
108771,2020.0,16252.0,0.006803141814583462,4.5374802365120965,17.564814797136037,2.7237814211695044,0.18668909178279675,13540.0,1.1783691959229898,3.95,641.0,-127.0,377.0,419.0,0.15507031828275353,12594.0,16648.0,0.029657417893544733,17279.0,0.03439282803585982,-0.03651831703223566,-0.02378664103796252,-0.770609098910656,0,0
105740,2020.0,1041.212,0.07991497069974884,0.3898172082717873,7.695914742451155,0.3603220011975251,0.3325244983667756,665.136,1.4467116724738678,0.4,102.593,1.458,8.223,8.445,0.04681990552857428,596.922,996.495,0.012260452961672476,987.581,-0.008415939517734013,0.009026095074733098,0.044874284366705285,5.518109155475074,1,1
105051,2020.0,121867.0,0.052785314321999656,19.005859514000363,15.89141494903266,2.4076535445032774,0.20256589868826347,83103.0,1.3454998515228591,18.81,22277.0,1003.0,25635.0,4807.0,0.15150655572365104,38694.0,104213.0,0.06206344492789175,92105.0,0.05239552332648698,0.13145866131046088,0.1694030495235719,-0.14949428953987112,1,1
105426,2020.0,5089.8,-0.08707433470840412,-7.32348367029549,-0.5243406243363772,0.4037808667211774,0.3100680482523971,4461.1,2.293151753732667,-5.31,611.4,-1127.0,499.7,-470.9,-0.7700735895339329,1939.1999999999996,6466.0,-0.16700358194134127,8285.3,-0.1664070420097421,-0.21958166873860926,-0.21283637488400864,-0.4786079813606135,0,0
105248,2020.0,111115.0,0.026310045256770324,3.1827644031533704,19.75326855412566,2.079042925663294,0.12305899060812713,65454.0,1.8207298629067667,3.19,5118.0,6781.0,12986.0,1321.0,0.10525057764321567,24005.0,74639.0,0.032224227935795484,60116.0,0.02912527102682761,0.24158293965001,0.4886989375527539,-0.1835321761877043,1,1
105016,2020.0,14597.8,0.004705561887847965,5.040491684743311,10.911633911920816,1.0407032425776441,0.11710292757318935,14126.0,0.05795113003906729,5.0,12112.2,-461.6,5345.8,1394.2,0.09537556437269121,,15999.6,0.005049842839850222,14075.6,0.006363252208211044,0.13669044303617608,-0.08761469036725925,-0.06817656765184964,0,0
105174,2020.0,10106.321,0.04164156735899651,7.032817194360989,22.773235187801912,3.1242445917689676,0.46446293198179056,5199.531,0.8631356555637295,6.87,3738.279,-477.862,418.665,486.896,0.13718931745992835,7407.873,9709.003,0.04328531963079604,9580.554,0.04688236949386814,0.013407262252266468,0.04092263644372129,-0.03797482115922874,1,1
105208,2020.0,3326.3,0.07111149296904087,8.374521582642636,14.975183807506056,2.578456787742978,0.41911944890679875,2133.4,1.1577039465388979,8.32,2144.4,331.9,461.0,330.4,0.17218197925895043,2372.6,3672.7,0.10414827890556044,3680.1,0.11697002141327623,-0.0020108149235075383,-0.09431753206088155,-0.3172091395430227,0,0
