permno,mergent_id,PERMCO,GVKEY,companyid,Company Name,Ticker Symbol,CUSIP,Primary Link Marker,Security-level Identifier,Link Type Codd,Historical CRSP PERMCO Link to COMPUSTAT Record,First Effective Date of Link,Last Effective Date of Link
11992,1641,8292,015363,6579,TCF FINANCIAL CORP,TCF,872307103,P,01,LC,9882,2019-08-01T00:00:00Z,2021-06-30T00:00:00Z
11992,1641,8292,015363,30053,TCF FINANCIAL CORP,TCF,872307103,P,01,LC,9882,2019-08-01T00:00:00Z,2021-06-30T00:00:00Z
11992,1641,9882,015363,6579,TCF FINANCIAL CORP,TCF,872307103,P,01,LC,9882,2019-08-01T00:00:00Z,2021-06-30T00:00:00Z
11992,1641,9882,015197,30053,CHEMICAL FINANCIAL CORP,CHFC,163731102,P,01,LC,9882,1988-08-02T00:00:00Z,2019-07-31T00:00:00Z
11995,1825,1035,003138,259416,COCA COLA CONSOLIDATED INC,COKE,191098102,P,01,LU,1035,1982-11-01T00:00:00Z,NA
11999,129727,23988,007509,1655173,MOLYCORP INC,MCPIQ,608753109,P,02,LC,53465,2010-07-29T00:00:00Z,2016-08-31T00:00:00Z
11999,129727,23988,007509,2300322,MOLYCORP INC,MCPIQ,608753109,P,02,LC,53465,2010-07-29T00:00:00Z,2016-08-31T00:00:00Z
11999,129727,53465,007509,1655173,MOLYCORP INC,MCPIQ,608753109,P,02,LC,53465,2010-07-29T00:00:00Z,2016-08-31T00:00:00Z
12007,129680,53466,184569,1652670,WESTMORELAND RES PARTNERS LP,WMLPQ,96108P103,P,01,LC,53466,2010-07-14T00:00:00Z,2018-10-08T00:00:00Z
12008,5623,7062,004115,9793,DYCOM INDUSTRIES INC,DY,267475101,P,01,LU,7062,1984-05-31T00:00:00Z,NA
12009,129629,53467,184748,1651361,QUAD/GRAPHICS INC,QUAD,747301109,P,01,LC,53467,2010-07-06T00:00:00Z,NA
12011,129679,53468,184673,1653111,REALD INC,RLD,75604L105,P,01,LC,53468,2010-07-16T00:00:00Z,2016-03-31T00:00:00Z
12026,129694,53476,184603,1653112,QLIK TECHNOLOGIES INC,QLIK,74733T105,P,01,LC,53476,2010-07-16T00:00:00Z,2016-08-31T00:00:00Z
12027,129677,53477,182331,1652839,SMART TECHNOLOGIES INC,SMT,83172R207,P,01,LC,53477,2010-07-15T00:00:00Z,2016-09-30T00:00:00Z
12036,3524,20773,004941,12886,GATX CORP,GATX,361448103,P,01,LC,20773,1962-01-31T00:00:00Z,NA
12036,3524,20773,004941,12886,GATX CORP,GATX,361448103,C,00X,LC,20773,1950-01-01T00:00:00Z,1962-01-30T00:00:00Z
12051,129749,53484,184676,1656526,INTRALINKS HOLDINGS INC,IL,46118H104,P,01,LC,53484,2010-08-06T00:00:00Z,2017-01-31T00:00:00Z
12052,3596,20791,005046,12984,GENERAL DYNAMICS CORP,GD,369550108,C,00X,LC,20791,1954-01-01T00:00:00Z,1962-01-30T00:00:00Z
12052,3596,20791,005046,12984,GENERAL DYNAMICS CORP,GD,369550108,P,01,LC,20791,1962-01-31T00:00:00Z,NA
12060,3597,20792,005047,12986,GE AEROSPACE,GE,369604301,P,01,LC,20792,1962-01-31T00:00:00Z,NA
12060,3597,20792,005047,12986,GE AEROSPACE,GE,369604301,C,00X,LC,20792,1950-01-01T00:00:00Z,1962-01-30T00:00:00Z
12062,55442,9848,014960,18319,LABCORP HOLDINGS INC,LH,504922105,P,01,LC,9848,1988-07-07T00:00:00Z,NA
12068,18341,7067,017095,23049,OLD NATIONAL BANCORP,ONB,680033107,P,01,LU,7067,1987-01-30T00:00:00Z,NA
12068,18341,7067,017095,23049,OLD NATIONAL BANCORP,ONB,680033107,C,00X,LU,7067,1987-01-01T00:00:00Z,1987-01-29T00:00:00Z
12070,129810,53488,185453,1659429,WHITESTONE REIT,WSR,966084204,P,01,LC,53488,2010-08-26T00:00:00Z,NA
12073,56474,9847,016245,1013530,PEOPLE'S UNITED FINL INC,PBCT,712704105,P,01,LC,9847,1988-07-06T00:00:00Z,2022-04-29T00:00:00Z
12076,56654,9857,015520,1142586,SIGNET JEWELERS LTD,SIG,G81276100,P,01,LC,9857,2008-09-11T00:00:00Z,NA
12084,129751,53494,184725,1656513,NXP SEMICONDUCTORS NV,NXPI,N6596X109,P,01,LC,53494,2010-08-06T00:00:00Z,NA
12088,121943,53496,176375,1692512,PARK STERLING CORP,PSTB,70086Y105,P,01,LC,53496,2010-08-13T00:00:00Z,2017-11-30T00:00:00Z
12089,129768,53497,184797,1657354,REALPAGE INC,RP,75606N109,P,01,LC,53497,2010-08-12T00:00:00Z,2021-04-30T00:00:00Z
12093,130028,53500,185177,1663616,CORESITE REALTY CORP,COR.4,21870Q105,P,01,LC,53500,2010-09-23T00:00:00Z,2021-12-31T00:00:00Z
12149,56394,9879,014597,7355,JUNIPER PHARMACEUTICALS INC,JNP,48203L107,P,01,LC,9879,1988-07-28T00:00:00Z,2018-08-31T00:00:00Z
12175,3805,20846,005313,14037,GREAT NORTHERN IRON ORE PPTY,GNI,391064102,P,01,LC,20846,1976-01-30T00:00:00Z,2015-04-07T00:00:00Z
12209,57023,10059,015087,18862,LIFEWAY FOODS INC,LWAY,531914109,P,01,LU,10059,1988-12-29T00:00:00Z,NA
12211,57224,9971,014954,18922,LINDSAY CORP,LNN,535555106,P,01,LU,9971,1988-10-12T00:00:00Z,NA
12217,47443,8268,012236,20014,MEASUREMENT SPECIALTIES INC,MEAS,583421102,C,01,LC,8268,1988-09-28T00:00:00Z,NA
12226,133890,9977,014891,20663,MGP INGREDIENTS INC,MGPI,55303J106,P,01,LC,9977,1988-10-20T00:00:00Z,NA
12248,54606,9898,014616,25298,PROVIDENCE AND WORCESTER RR,PWX,743737108,C,01,LU,9898,1988-08-10T00:00:00Z,2016-11-30T00:00:00Z
12266,35265,9899,014603,24165,AVID BIOSERVICES INC,CDMO,05368M106,C,01,LC,9899,1988-08-11T00:00:00Z,NA
12308,98675,17322,126136,6513,CHARTER COMMUNICATIONS INC,CHTR,16119P108,P,03,LC,17322,2010-09-14T00:00:00Z,NA
12308,98675,17322,126136,1661731,CHARTER COMMUNICATIONS INC,CHTR,16119P108,P,03,LC,17322,2010-09-14T00:00:00Z,NA
12312,130029,17401,126600,1663941,SCIQUEST INC,SQI,80908T101,P,02,LC,53514,2010-09-24T00:00:00Z,2016-07-29T00:00:00Z
12312,130029,17401,126600,2497663,SCIQUEST INC,SQI,80908T101,P,02,LC,53514,2010-09-24T00:00:00Z,2016-07-29T00:00:00Z
12312,130029,53514,126600,1663941,SCIQUEST INC,SQI,80908T101,P,02,LC,53514,2010-09-24T00:00:00Z,2016-07-29T00:00:00Z
12332,111145,53523,107781,741619,HUDBAY MINERALS INC,HBM,443628102,P,01,LC,53523,2010-10-25T00:00:00Z,NA
12340,130174,53528,184785,1667608,TOWER INTERNATIONAL INC,TOWR,891826109,P,01,LC,53528,2010-10-15T00:00:00Z,2019-09-30T00:00:00Z
12345,130158,53531,294524,1667126,LYONDELLBASELL INDUSTRIES NV,LYB,N53745100,C,01,LC,53531,2010-10-14T00:00:00Z,NA
12347,130202,53532,177313,1669156,AEGERION PHARMACEUTICALS INC,AEGR,00767E102,P,01,LC,53532,2010-10-22T00:00:00Z,2016-11-30T00:00:00Z
12348,130198,53533,185194,1668860,BRAVO BRIO RESTAURANT GP INC,BBRG,10567B109,P,01,LC,53533,2010-10-21T00:00:00Z,2018-05-31T00:00:00Z
12356,130100,53540,185119,1665220,KEYW HOLDING CORP,KEYW,493723100,P,01,LC,53540,2010-10-01T00:00:00Z,2019-06-28T00:00:00Z
12358,128109,53542,152109,1665918,BIMI INTERNATIONAL MEDCL INC,BIMI,05552Q301,P,01,LC,53542,2010-10-04T00:00:00Z,2024-08-21T00:00:00Z
12360,130212,53544,185419,1670028,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,P,01,LC,53544,2010-10-27T00:00:00Z,NA
12363,130199,53546,185195,1668844,VERA BRADLEY INC,VRA,92335C106,P,01,LC,53546,2010-10-21T00:00:00Z,NA
12366,130440,53550,185881,1672856,BOOZ ALLEN HAMILTON HLDG CP,BAH,099502106,P,01,LC,53550,2010-11-17T00:00:00Z,NA
12369,130246,20799,005073,13005,GENERAL MOTORS CO,GM,37045V100,P,19,LC,53554,2010-11-18T00:00:00Z,NA
12369,130246,20799,005073,1554402,GENERAL MOTORS CO,GM,37045V100,P,19,LC,53554,2010-11-18T00:00:00Z,NA
